cluster	loc.d	loc.o	span	span2	intro_date	intro_date2	rep_strain	area
cluster_314	Korea	China	0.30999999999994543	0.029999999999972715	2021.54	2021.82	quail/Korea/H526/2021	gNA
cluster_315	Sweden	Russian_Federation	0.4500000000000455	0.2599999999999909	2020.75	2020.94	barnacle_goose/Sweden/SVA201215SZ0368/KN003768/2020	gE
cluster_316	Austria	Sweden	0.03999999999996362	0	2021.05	2021.09	mute_swan/Austria/21011165_21VIR1085-2/2021	gE
cluster_317	Germany	Sweden	0.19000000000005457	0.010000000000218279	2021.44	2021.62	seal/Germany-SH/AI05373/2021	gE
cluster_318	Finland	Sweden	0.03999999999996362	0	2020.96	2021	mute_swan/Finland/1325_21VIR7689-2/2021	gE
cluster_319	Estonia	Finland	0.5499999999999545	0.5499999999999545	2021.17	2021.17	mute_swan/Estonia/TA2106419-1_21VIR7512-3/2021	gE
cluster_320	Belgium	Sweden	0.07000000000016371	0.029999999999972715	2021.62	2021.66	Meleagris_gallopavo/Belgium/11293_001/2021	gE
cluster_321	Germany	Sweden	0.08000000000015461	0	2021.06	2021.14	chicken/Germany-MV/AI01587/2021	gE
cluster_322	Germany	Russian_Federation	0.5099999999999909	0.2699999999999818	2020.59	2020.83	greylag_goose/Germany-SH/AI02191/2020	gE
cluster_323	Poland	Germany	0	0	2020.93	2020.93	turkey/Poland/477/2020_H5N8	gE
cluster_324	Italy	Germany	0.3300000000001546	0.2400000000000091	2020.82	2020.91	common_teal/Italy/20VIR7608-73/2020	gE
cluster_325	Czech_Republic	Germany	0.3300000000001546	0.14000000000010004	2020.86	2021.05	mute_swan/Czech_Republic/2669-1/2021	gE
cluster_326	Poland	Germany	0.4399999999998272	0.38999999999987267	2020.92	2020.97	turkey/Poland/542/2020_H5N8	gE
cluster_327	Czech_Republic	Poland	0.19000000000005457	0.01999999999998181	2021.07	2021.24	chicken/Czech_Republic/6151-1/2021	gE
cluster_328	Czech_Republic	Poland	0	0	2021.25	2021.25	chicken/Czech_Republic/6532-1/2021	gE
cluster_329	Netherlands	Russian_Federation	0.19000000000005457	0.07000000000016371	2021	2021.12	eurasian_curlew/Netherlands/21024069-002/2021	gE
cluster_330	Georgia	Russian_Federation	0.13999999999987267	0.07999999999992724	2020.68	2020.74	green-winged-teal/Georgia/DT-22246/2020	gE
cluster_331	Norway	Russian_Federation	0.44000000000005457	0	2021.79	2022.23	sea_eagle/Norway/2022-07-198_22VIR3866-2/2022	gE
cluster_332	Romania	Russian_Federation	0.25	0.03999999999996362	2020.81	2021.02	whooper_swan/Romania/10213_21VIR2593-27/2021	gE
cluster_333	Germany	Russian_Federation	0.07000000000016371	0	2021.07	2021.14	turkey/Germany-NI/AI01483/2021	gE
