mean	stderr_mean	stdev	variance	median	mode	geom_mean	hpd_interval_low	hpd_interval_high	act	ess	epoch	epochv	name	type	bf	model
0.12087572473394337	0.019876915261475794	1.9639659400815908	3.857162213800567	0.17425923328666282	n/a	n/a	-3.624061013200025	3.992750241887599	1.0245117024142356	9761.723537596397	0	T2	poultryPop_O	Coeff	NA	RandEffect -
0.07018381261446822	0.019621924867244296	1.95085296169832	3.805827278167106	0.13044674446784257	n/a	n/a	-3.9042555114219937	3.745789382700543	1.011861325242644	9883.765443453196	0	T2	poultryPop_D	Coeff	NA	RandEffect -
0.033320769208441646	0.01962356088546692	1.9625523241555507	3.8516116250483536	0.08939926493614214	n/a	n/a	-3.9249479700561336	3.7164020383863896	1	10001	0	T2	poultryHetero_O	Coeff	NA	RandEffect -
0.004392818859068676	0.0199649707758523	1.9858426924800725	3.9435711992765037	0.00176351322883761	n/a	n/a	-4.054148660474598	3.7604304282151935	1.0109612884671542	9892.564744159272	0	T2	poultryHetero_D	Coeff	NA	RandEffect -
0.21818294258102963	0.01962582145561522	1.9627784037760827	3.852499062329787	0.3594026300729076	n/a	n/a	-3.557199653715876	3.9067423075742287	1	10001	0	T2	cropland_O	Coeff	NA	RandEffect -
-0.033677267927588704	0.019741188368793194	1.9743162487630117	3.8979246501296503	0.010946442260993727	n/a	n/a	-3.8153763746457674	3.919625443892155	1	10001	0	T2	cropland_D	Coeff	NA	RandEffect -
0.2343581621360284	0.018972019541017435	1.8973916742971526	3.600095165692152	0.5151722981012461	n/a	n/a	-3.711749883870096	3.746385731644857	1	10001	0	T2	viralSample_O	Coeff	NA	RandEffect -
1.9190176920667132	0.010823250912121758	0.9840573543480226	0.9683688766464297	2.064793847047552	n/a	n/a	-0.3617343960885693	3.53759744380476	1.2099334546562273	8265.743840301975	0	T2	viralSample_D	Coeff	NA	RandEffect -
-0.04358092692317176	0.019445727260761284	1.944767183348735	3.782119397430172	-0.1791969974063916	n/a	n/a	-3.800869491968719	3.9024479663796754	1	10001	1	T1	roadDist	Coeff	NA	RandEffect -
0.05104208390114594	0.019812680714150915	1.9814661982222306	3.9262082946972603	0.10847913936002308	n/a	n/a	-3.945796721805968	3.824888440342291	1	10001	1	T1	sharedBorders	Coeff	NA	RandEffect -
0.064669628115197	0.02016816239413932	2.0104526935800546	4.041920033123297	0.11463423842776256	n/a	n/a	-4.012420018735409	3.811398549382187	1.0065417574934614	9936.001090411759	1	T1	poultryFarm_O	Coeff	NA	RandEffect -
0.012517990573524504	0.01943170854434916	1.941405266881695	3.7690544102759858	0.025389510747383548	n/a	n/a	-3.8038274502119687	3.824340259613869	1.0020200768610883	9980.837940222684	1	T1	poultryFarm_D	Coeff	NA	RandEffect -
0.020679340002856837	0.019837276516930978	1.9839260244582584	3.93596247052275	0.0012005340951111163	n/a	n/a	-3.89354462887694	3.8053493031756807	1	10001	1	T1	poultryPop_O	Coeff	NA	RandEffect -
0.00921657733922701	0.02059239843616195	2.0103139309919653	4.041362101140368	0.009119857285760258	n/a	n/a	-3.9366348114001504	3.8825350420348	1.0494770732103127	9529.507842803368	1	T1	poultryPop_D	Coeff	NA	RandEffect -
-0.006312501436347508	0.019705808130684895	1.9707778711497919	3.8839654174137053	0.028936043065785344	n/a	n/a	-3.9256168841529497	3.6960411903867305	1	10001	1	T1	poultryHetero_O	Coeff	NA	RandEffect -
0.0033543444302292697	0.02038667354813675	1.9985215372099723	3.994088334692111	0.006763723024565627	n/a	n/a	-3.7936128385541945	4.021950156756147	1.040787160853266	9609.073186299594	1	T1	poultryHetero_D	Coeff	NA	RandEffect -
0.060565335392888546	0.020451030451031117	1.9939639376705305	3.975892184730567	0.0650155780686569	n/a	n/a	-3.835319436033743	3.874957025210088	1.052162081324398	9505.189530696018	1	T1	cropland_O	Coeff	NA	RandEffect -
-0.012873710364548823	0.02009337732233977	2.0095386660071988	4.038245650177992	0.032559021084030526	n/a	n/a	-4.026057056633165	3.773562048240991	1	10001	1	T1	cropland_D	Coeff	NA	RandEffect -
3.6589341369786994	0.011326685829729921	1.0649812709175857	1.1341851074052358	3.6670986891939856	n/a	n/a	1.9455514828196625	5.627408242307601	1.1313803284218809	8839.64459055958	1	T1	viralSample_O	Coeff	NA	RandEffect -
2.4016100121766892	0.005846131681136144	0.5466425582109579	0.2988180864474204	2.4103171751866883	n/a	n/a	1.511165944302943	3.399922390696322	1.1439766525676391	8742.311285420816	1	T1	viralSample_D	Coeff	NA	RandEffect -
0.001699830016998359	4.119187927031042e-4	0.04119599845823741	0.0016971102889710994	0	0	0	0	0	1	10001	0	T2	roadDist	Inclusion	0.02863497733040947	RandEffect +
0.0033996600339966034	5.820449784417796e-4	0.058210318293956696	0.0033884411558837498	0	0	0	0	0	1	10001	0	T2	sharedBorders	Inclusion	0.057367635931935085	RandEffect +
0.06639336066393337	0.005248467622453565	0.2489808845110632	0.06199148085191139	0	0	0	0	1	4.444469072726347	2250.2125307545766	0	T2	poultryFarm_O	Inclusion	1.1959505287298053	RandEffect +
0.013798620137986233	0.0017120936654106945	0.11666010047180955	0.013609579042092701	0	0	0	0	0	2.1542554639841494	4642.439194051679	0	T2	poultryFarm_D	Inclusion	0.23530033628962818	RandEffect +
0.04739526047395252	0.0023748778101426904	0.21249344614256502	0.045153464653543175	0	0	0	0	0	1.2493332951781837	8005.069614808935	0	T2	poultryPop_O	Inclusion	0.8367094442300959	RandEffect +
0.01889811018898107	0.0016680110577055728	0.13617204455184517	0.018542825717429705	0	0	0	0	0	1.5007515095247053	6663.994629708793	0	T2	poultryPop_D	Inclusion	0.3239341681435983	RandEffect +
0.010298970102989746	0.0010095485193686565	0.10096494742206186	0.010193920607939715	0	0	0	0	0	1	10001	0	T2	poultryHetero_O	Inclusion	0.17500170092401524	RandEffect +
0.007399260073992659	8.674512466343383e-4	0.08570440756141538	0.007345245475453195	0	0	0	0	0	1.0246385497400703	9760.51506410436	0	T2	poultryHetero_D	Inclusion	0.12536208090438575	RandEffect +
0.022697730226977526	0.0017679740105486317	0.14894549850144279	0.022184761523843292	0	0	0	0	0	1.4092363698804862	7096.751271646615	0	T2	cropland_O	Inclusion	0.3905764170389861	RandEffect +
0.004499550044995548	6.926641475907845e-4	0.06693094967799422	0.004479752024798194	0	0	0	0	0	1.0712190769118874	9336.092136102452	0	T2	cropland_D	Inclusion	0.07601164308253998	RandEffect +
0.022497750224977523	0.0023618772426449233	0.14830307016357108	0.021993800619941085	0	0	0	0	0	2.5368875322405366	3942.23231140534	0	T2	viralSample_O	Inclusion	0.38705601397798733	RandEffect +
0.2871712828717141	0.011335653371981499	0.45246481361453794	0.20472440755923854	0	0	0	0	1	6.2778414940567036	1593.0634772266947	0	T2	viralSample_D	Inclusion	6.774984648049389	RandEffect +
0.30556944305569433	0.00606379245116288	0.4606712257154835	0.21221797820220595	0	0	0	0	1	1.7329791512393231	5770.986911670509	1	T1	roadDist	Inclusion	7.400031943130775	RandEffect +
0.03829617038296162	0.0020400718151217605	0.19191992255711354	0.03683325667432846	0	0	0	0	0	1.130154052866064	8849.236061789561	1	T1	sharedBorders	Inclusion	0.6696787153644727	RandEffect +
0.2477752224777524	0.006565613879545799	0.4317421682787064	0.18640129986999882	0	0	0	0	1	2.3130690361895136	4323.692826944488	1	T1	poultryFarm_O	Inclusion	5.539400103731511	RandEffect +
0.016998300169983032	0.0021234702963224264	0.12927114487429506	0.016711028897110982	0	0	0	0	0	2.6988332061676177	3705.6754663996317	1	T1	poultryFarm_D	Inclusion	0.2908062391077192	RandEffect +
0.06719328067193261	0.0029043240499585636	0.2503689508282502	0.06268461153883877	0	0	0	0	1	1.3459101179765292	7430.6596454120745	1	T1	poultryPop_O	Inclusion	1.2113975042031353	RandEffect +
0.02019798020197986	0.0015137716411366975	0.1406840460035309	0.019792000799923597	0	0	0	0	0	1.1580248649496323	8636.256701133087	1	T1	poultryPop_D	Inclusion	0.34667466644671674	RandEffect +
0.031996800319968016	0.0017598269261050149	0.17600029087975336	0.030976102389757797	0	0	0	0	0	1	10001	1	T1	poultryHetero_O	Inclusion	0.5558815410013275	RandEffect +
0.005999400059993915	8.594780770331865e-4	0.0772269616108303	0.005964003599640657	0	0	0	0	0	1.2388495420178216	8072.812444770739	1	T1	poultryHetero_D	Inclusion	0.10150178299027583	RandEffect +
0.21107889211078873	0.00500497254450591	0.4080946530835938	0.16654124587541877	0	0	0	0	1	1.5044177338827456	6647.754659331527	1	T1	cropland_O	Inclusion	4.499494493779246	RandEffect +
0.004899510048995138	7.67005799888447e-4	0.06982830658665218	0.0048759924007594916	0	0	0	0	0	1.2067606225826013	8287.47625075531	1	T1	cropland_D	Inclusion	0.08280150055367659	RandEffect +
0.2838716128387161	0.008179687583300144	0.4508978255825595	0.20330884911508024	0	0	0	0	1	3.2915768978347453	3038.361341817299	1	T1	viralSample_O	Inclusion	6.666280296335562	RandEffect +
0.19018098190181126	0.013439575331984642	0.39246347249429664	0.15402757724228153	0	0	0	0	1	11.728958838531137	852.6758544966012	1	T1	viralSample_D	Inclusion	3.9494044231623024	RandEffect +
0.027639644961465794	0.019784666185931492	1.978664465255013	3.915113066062906	0.03118712455228323	n/a	n/a	-3.8892841160061575	3.7888222385046286	1	10001	0	T2	roadDist	Coeff	NA	RandEffect +
-0.011354093377503994	0.020177221393635758	1.9918110925815817	3.9673114285310347	-0.031409932936419915	n/a	n/a	-4.002883829842725	3.816370264949661	1.0263920507052318	9743.840078582385	0	T2	sharedBorders	Coeff	NA	RandEffect +
0.1547182031245861	0.021468084373386258	2.0183502642823967	4.0737377893288205	0.16728010133607782	n/a	n/a	-3.744637617504426	3.946720144272009	1.131567250618007	8838.184380590672	0	T2	poultryFarm_O	Coeff	NA	RandEffect +
-0.007240596527650645	0.019818551164936016	1.9820533020052444	3.928535291989893	0.04440447771287681	1.09769481745795	n/a	-3.864828435644382	3.919719967812327	1	10001	0	T2	poultryFarm_D	Coeff	NA	RandEffect +
0.099387214016373	0.020756733282124577	2.0338126531380265	4.136393908064338	0.11834867398712312	1.44301922883349	n/a	-3.861483247058477	4.034870681414157	1.0417966925462518	9599.761711238101	0	T2	poultryPop_O	Coeff	NA	RandEffect +
0.0015194019977079188	0.020301207737230948	1.9711766657369556	3.8855374475458615	6.011219031956117e-4	n/a	n/a	-3.814180518140324	3.880355551113029	1.0609123527533495	9426.791924935878	0	T2	poultryPop_D	Coeff	NA	RandEffect +
-0.03126662203602316	0.01984679821482252	1.9848782894643977	3.9397418239871134	-0.05063905249197331	n/a	n/a	-3.9369978783314026	3.803568061191436	1	10001	0	T2	poultryHetero_O	Coeff	NA	RandEffect +
0.02501648963579226	0.020096823784592627	1.9986735362743138	3.994695904603271	0.015777841334951415	n/a	n/a	-3.889430330319063	3.874612141812714	1.0112487067351779	9889.753068054133	0	T2	poultryHetero_D	Coeff	NA	RandEffect +
0.05242221877380335	0.019771328023519337	1.9773305156321683	3.9098359680501766	0.06231638153266372	n/a	n/a	-3.866822005625864	3.7999621582612257	1	10001	0	T2	cropland_O	Coeff	NA	RandEffect +
0.03497646995978296	0.02004524605869966	2.004725058330552	4.018922559498435	0.03423981602933024	n/a	n/a	-3.717675876536149	4.146370912667114	1	10001	0	T2	cropland_D	Coeff	NA	RandEffect +
0.025129881824664378	0.019652938931472127	1.9640626778985488	3.8575422027140185	0.025493479692209498	n/a	n/a	-3.8092969245940513	3.828507652049672	1.001454397145645	9986.475698249413	0	T2	viralSample_O	Coeff	NA	RandEffect +
0.5353461193243721	0.03055636169109851	1.9151536950390136	3.667813675621587	0.9230134867321428	n/a	n/a	-3.49536906081992	3.861479751009779	2.546143479395352	3927.9011889679514	0	T2	viralSample_D	Coeff	NA	RandEffect +
-0.3067120089572485	0.018687492298047923	1.7365207337047934	3.015504258586634	-0.686842482386617	-0.856810291757676	n/a	-3.472818234689753	3.63336785160805	1.1583210846441134	8634.048134479692	1	T1	roadDist	Coeff	NA	RandEffect +
0.016901233956427595	0.01963524380599668	1.9637207330377264	3.856199117362226	0.08029672780781039	-1.82113186288419	n/a	-3.839422267942768	3.831567780413792	1	10001	1	T1	sharedBorders	Coeff	NA	RandEffect +
0.5434541665242496	0.024053456312051004	2.044700271775724	4.1807992013997195	0.7874545539215014	n/a	n/a	-3.670535300334839	4.138141452429206	1.3841479875422023	7225.383477787322	1	T1	poultryFarm_O	Coeff	NA	RandEffect +
0.038814553662471926	0.019671051807712992	1.9673018912893827	3.8702767314707818	0.04838818101821829	n/a	n/a	-3.8945445505900578	3.855835552491997	1	10001	1	T1	poultryFarm_D	Coeff	NA	RandEffect +
0.12820681138467147	0.020682787069218153	2.011143096104176	4.04469655300749	0.1339137251865735	2.9163815252558	n/a	-3.96087351036086	3.82323964376889	1.0578376774555267	9454.19152024906	1	T1	poultryPop_O	Coeff	NA	RandEffect +
0.035811368344461865	0.019983890286494277	1.9739869552251357	3.896624499399002	0.03960465508387068	n/a	n/a	-3.7372813594928598	3.948560171964597	1.0250814421866972	9756.297976349988	1	T1	poultryPop_D	Coeff	NA	RandEffect +
0.04175309014761601	0.019681516428722925	1.9683484580365782	3.874395652254975	0.06008915030829254	n/a	n/a	-3.91174909322029	3.7467888579870903	1	10001	1	T1	poultryHetero_O	Coeff	NA	RandEffect +
0.010304544951344608	0.020197722849167484	1.9926656960908864	3.9707165763773764	0.0024812124071469377	n/a	n/a	-3.8421053767822895	3.914308074139156	1.0275968937203253	9732.415562090937	1	T1	poultryHetero_D	Coeff	NA	RandEffect +
0.44645394986058634	0.021597295086761375	2.023466652312601	4.094417293021163	0.6064815898898894	n/a	n/a	-3.5394029229391166	4.195570624622828	1.1394452860368913	8777.077866357686	1	T1	cropland_O	Coeff	NA	RandEffect +
-0.014640542998048055	0.0207111853485876	2.004249525154707	4.017016159082869	0.002211675854829398	n/a	n/a	-4.074403286601842	3.7971350385243694	1.0680539397450288	9363.759289523794	1	T1	cropland_D	Coeff	NA	RandEffect +
0.8413559726913004	0.0333367292900407	2.2099464662196735	4.883863383556823	0.9796318277914612	n/a	n/a	-3.413342492295311	4.774868746034374	2.2759846274923072	4394.142156847148	1	T1	viralSample_O	Coeff	NA	RandEffect +
0.40355551868826933	0.03783566449657927	1.9711049558812437	3.8852547470995997	0.5860383844566495	1.74339597104633	n/a	-3.672804046950041	3.724521125179289	3.6852765723625662	2713.7718984245826	1	T1	viralSample_D	Coeff	NA	RandEffect +
