tree	state	t1_p	t2_p
18	New_Taipei	0	0.12172095311714659
18	Pingtung	0.5491620451086242	0.5247879335429674
18	Taichung	0.005674884814971225	0
18	Tainan	0.5414560918379653	0.21660958904295627
18	Taipei	0	0.22745796741795019
18	Yunlin	0.773619022442857	1
19	Changhua	1	0.22089041095706038
19	Chiayi	0.1271904381081973	0.15103706943352482
19	Kaohsiung	0.3877636424138502	0.20667740432818985
19	New_Taipei	0	0.048379161691333224
19	Pingtung	0.5789188118477229	0.3058889487148846
19	Taichung	0.016243997706562645	0
19	Tainan	0.4593315230284562	0.21660958903904828
19	Taipei	0.2603980874712566	0.4662845463515493
19	Yunlin	0.8530179611414616	1
20	Changhua	0.751786062994905	0.19803887288672767
20	Chiayi	0.10072861852921722	0.2680842241484168
20	Kaohsiung	0.3172964905362997	0.41887041603120795
20	New_Taipei	0	0.04040784270306912
20	Pingtung	0.5484766220334614	0.2870492653672036
20	Taichung	0.013022719914791689	0
20	Tainan	0.392479050797217	0.21660958903904828
20	Taipei	0	0.23840371598041254
20	Taoyuan	0.015432520104633094	0
20	Yunlin	0.8077971458436188	1
21	Changhua	0.853716639086716	0.22089041095706038
21	Chiayi	0.1495425046487278	0.2086676328710483
21	Kaohsiung	0.29636678137306816	0.22624143835548588
21	Nantou	0	0.055600407550745044
21	New_Taipei	0	0.12753784292582032
21	Pingtung	0.6292920860277252	0.8477120088905427
21	Taichung	0.024708095459615022	0
21	Tainan	0.5831377228381556	0.21660958903904828
21	Taipei	0	0.2799690999062665
21	Yunlin	0.9780883109903744	1
22	Changhua	0.7826620930600928	0.22089041095706038
22	Chiayi	0.1020311934323522	0.17797922550001252
22	Kaohsiung	0.3124384518510857	0.25270898765235544
22	Nantou	0	0.037789526320339495
22	New_Taipei	0	0.05597468403903582
22	Pingtung	0.52079828464564	0.634465546234299
22	Taichung	0.011298746455316996	0
22	Tainan	0.1742071297732472	0.14961218850392355
22	Taipei	0	0.24692034498830503
22	Yunlin	0.9581709748851412	1
23	Changhua	0.815446897809283	0.22089041095706038
23	Chiayi	0.08415203755373878	0.15136031956249996
23	Kaohsiung	0.32589249840397955	0.2923825786679737
23	Miaoli	0.03764098909491611	0
