tree	state	t1_p	t2_p
23	Changhua	0.8470263024282225	0.3417190162110497
23	Chiayi	0.0794009828921393	0.13566264033596703
23	Pingtung	0.5893746969474163	0.5070302105624527
23	Taichung	0.020359111673305473	0
23	Tainan	0.3537198956412322	0
23	Yunlin	0.45289630438320494	1
24	Changhua	0.8521276755101329	0.35629559212117895
24	Chiayi	0.15196013456893973	0.30019398556644566
24	Pingtung	0.6033220972191571	0.6498085587694385
24	Taichung	0.0015386211325161727	0
24	Tainan	0.3739728409114555	0
24	Yunlin	0.7978879036514956	1
25	Changhua	0.7994320721881302	0.22089041095706038
25	Chiayi	0.4299411897607375	0.18958961935159166
25	Kaohsiung	0.01613977341599332	0.19841609589067213
25	Nantou	0	2.5187428125404384e-4
25	Pingtung	0.266115241648074	0.5193413215858738
25	Taichung	0.016688733053201593	0
25	Tainan	0.4097069589033407	0.21660958904295627
25	Yunlin	0.17650616272590847	1
26	Changhua	1	0.22089041095706038
26	Chiayi	0.08111618044717682	0.2915131119569895
26	Pingtung	0.4297445251944757	0.6625078272616044
26	Taichung	0.0108714462951805	0
26	Tainan	0.184848798216008	0
26	Yunlin	0.5531728476500218	1
27	Changhua	0.856305489404104	0.34822800948830374
27	Chiayi	0.09882405785740105	0.17718434696475296
27	Pingtung	0.7265288399368307	0.5346342502655504
27	Taichung	0.010111319847496948	0
27	Tainan	0.18199796858291717	0.2528110451054218
27	Yunlin	0.45952709532066077	1
28	Changhua	1	0.38213640924220277
28	Chiayi	0.1617324760146308	0.3558295529297632
28	Kaohsiung	0.11494482611733257	0
28	Pingtung	0.5568836692543672	0.07602648140627208
28	Taichung	0.003135389389710809	0
28	Tainan	0.43220247731061456	0.21660958903904828
28	Yunlin	0.3579203152663316	1
29	Changhua	1	0.3022260273984907
29	Chiayi	0.09908483675374734	0.27776619697650673
29	Pingtung	0.5901923861048304	0.6175418964959906
29	Taichung	0.01260295322413316	0
29	Tainan	0.43700483548858077	0.21660958904295627
29	Yunlin	0.381012437848112	1
30	Changhua	1	0.3835311910430147
30	Chiayi	0.11906069598459373	0.3435841095312798
30	Pingtung	0.2716726714693922	0.3036799086835424
30	Taichung	0.010950564032060019	0
30	Tainan	0.8210281155976442	0.21660958904295627
30	Yunlin	0.304002866499066	1
31	Changhua	0.8561946286776854	0.22089041096096837
31	Chiayi	0.11469499065622679	0.4448263323398349
31	Pingtung	0.5709683106920956	0.49933268252338975
31	Taichung	0.001806886430322136	0
31	Tainan	0.37802964323984484	0
31	Taoyuan	0.2949060770564026	0
31	Yunlin	0.4536608957509123	1
32	Changhua	0.8493496569442531	0.36865205718752136
32	Chiayi	0.14005115625852024	0.34419965491403365
32	Kaohsiung	0.22047472114018787	0
